name,food_category,storageMethod,shelfLifeDays,allergenTags,nutrition,desc
apple,FRUIT,REFRIGERATED,30,,"VITAMINS,FIBER",비타민이 풍부한 사과
basil,VEGETABLE,REFRIGERATED,7,,"VITAMINS,FIBER",향신료로 사용하는 허브 바질
bitter gourd,VEGETABLE,REFRIGERATED,10,,"VITAMINS,FIBER",쓴맛이 강한 채소
bread,GRAINS,ROOM_TEMPERATURE,5,,CARBOHYDRATES,간편한 아침식사용 빵
brinjal,VEGETABLE,REFRIGERATED,10,,"VITAMINS,FIBER",가지 요리에 사용
butter,DAIRY,REFRIGERATED,30,DAIRY,"FAT,CALCIUM",빵에 발라 먹는 버터
cabbage,VEGETABLE,REFRIGERATED,14,,"FIBER,VITAMINS",김치나 샐러드용 양배추
capsicum,VEGETABLE,REFRIGERATED,10,,"VITAMINS,FIBER",피망 또는 파프리카
carrots,VEGETABLE,REFRIGERATED,21,,"FIBER,VITAMINS","당근, 눈에 좋은 채소"
cauliflower,VEGETABLE,REFRIGERATED,10,,"FIBER,VITAMINS",콜리플라워 볶음용
chillies,VEGETABLE,REFRIGERATED,14,,"VITAMINS,FIBER",매운맛을 내는 고추
coriander,VEGETABLE,REFRIGERATED,5,,"VITAMINS,FIBER",향긋한 고수
cucumber,VEGETABLE,REFRIGERATED,7,,"FIBER,VITAMINS",시원한 맛의 오이
egg,EGG,REFRIGERATED,14,EGG,"PROTEIN,VITAMINS",다양하게 활용되는 계란
garlic,VEGETABLE,ROOM_TEMPERATURE,30,,"VITAMINS,MINERALS",향신료로 쓰이는 마늘
ginger,VEGETABLE,ROOM_TEMPERATURE,30,,"VITAMINS,MINERALS",매운 맛을 내는 생강
lemon,FRUIT,REFRIGERATED,20,,"VITAMINS,FIBER",비타민C가 풍부한 레몬
lettuce,VEGETABLE,REFRIGERATED,5,,"FIBER,VITAMINS",샐러드에 많이 쓰이는 상추
milk,DAIRY,REFRIGERATED,7,DAIRY,"PROTEIN,CALCIUM",신선한 우유
okra,VEGETABLE,REFRIGERATED,7,,"FIBER,VITAMINS",끈적한 질감의 채소
onion,VEGETABLE,ROOM_TEMPERATURE,60,,"VITAMINS,MINERALS","양파, 향신 채소"
potato,VEGETABLE,ROOM_TEMPERATURE,60,,"CARBOHYDRATES,VITAMINS","감자, 전분 식품"
pumpkin,VEGETABLE,ROOM_TEMPERATURE,90,,"CARBOHYDRATES,VITAMINS",단호박 또는 호박죽용
tomato,FRUIT,ROOM_TEMPERATURE,10,,"VITAMINS,FIBER","토마토, 과일형 채소"
watermelon,FRUIT,REFRIGERATED,7,,VITAMINS,여름철 수박
